Applicant ID,Credit 
,Income (INR),Employment Status,Debt-to-Income Ratio,Credit Utilization (%),Existing Debts (INR),Payment History (Late Payments),Residential Stability (Years),Age,Bankruptcy (Yes/No),Total Credit Limit (INR)
AP0001,527,1560285,Self-employed,0.65,89,1916923,2,11,45,Yes,270271
AP0002,544,2995855,Self-employed,0.46,57,506233,8,17,52,Yes,379953
AP0003,517,299591,Unemployed,0.82,71,1423900,2,10,63,No,56550
AP0004,390,1599011,Unemployed,0.44,47,904634,10,3,21,Yes,71147
AP0005,505,1224308,Self-employed,0.52,27,1691060,4,3,65,Yes,334571
AP0006,784,1709598,Self-employed,0.44,1,1150282,10,10,28,Yes,172691
AP0007,389,1332947,Self-employed,0.79,55,1452603,0,3,61,No,432724
AP0008,332,1919560,Unemployed,0.4,37,657389,4,19,49,No,284992
AP0009,636,2151520,Unemployed,0.08,19,1913215,3,12,40,Yes,61641
AP0010,457,997330,Employed,0.99,20,813549,7,16,64,Yes,271568
AP0011,559,479023,Unemployed,0.73,72,140429,7,11,24,No,463350
AP0012,316,1308583,Employed,0.89,76,1592144,5,5,60,No,380429
AP0013,748,1585261,Self-employed,0.45,14,473741,0,5,20,No,281950
AP0014,415,2659398,Employed,0.38,91,969402,2,6,20,Yes,268389
AP0015,841,1367230,Employed,0.75,11,451945,3,2,27,Yes,476853
AP0016,377,2685249,Employed,0.25,30,194345,9,11,25,No,272914
AP0017,591,2338795,Employed,0.92,59,528355,1,13,27,Yes,289354
AP0018,667,1970320,Unemployed,0.47,67,1642737,9,20,20,Yes,384776
AP0019,669,2342896,Employed,0.56,68,184898,5,6,21,No,124032
AP0020,724,525915,Self-employed,0.01,54,783809,3,20,41,Yes,306761
AP0021,540,263144,Employed,0.51,17,998471,10,19,55,No,373097
AP0022,692,742526,Self-employed,0.88,97,1495163,1,12,39,No,125280
AP0023,339,2752051,Employed,0.71,28,881364,10,10,63,Yes,82886
AP0024,546,1886115,Employed,0.08,85,763413,1,8,22,No,163602
AP0025,644,2481738,Unemployed,0.72,47,763323,0,5,62,Yes,421326
AP0026,739,828929,Employed,0.89,93,147316,10,6,63,Yes,89357
