Transaction ID,Applicant ID,Transaction Date,Merchant,Category,Amount (INR)
TXN00001,AP0036,2023-10-09,Amazon,Dining,33639.03
TXN00002,AP0293,2023-07-02,Zomato,Travel,14225.5
TXN00003,AP0632,2025-03-05,Zomato,Groceries,24751.7
TXN00004,AP0532,2024-12-08,Ola,Entertainment,12367.45
TXN00005,AP0095,2024-06-18,MakeMyTrip,Dining,12918.59
TXN00006,AP0097,2023-11-09,Swiggy,Travel,43066.22
TXN00007,AP0052,2024-02-09,Myntra,Entertainment,42688.88
TXN00008,AP0090,2024-12-29,Flipkart,Dining,3588.31
TXN00009,AP0972,2024-08-03,Big Bazaar,Shopping,33150.13
TXN00010,AP0191,2024-04-01,Ola,Groceries,1948.42
TXN00011,AP0601,2023-10-16,IRCTC,Dining,25947.23
TXN00012,AP0371,2023-04-15,IRCTC,Dining,31106.77
TXN00013,AP0539,2023-09-14,Uber,Groceries,25963.22
TXN00014,AP0351,2024-06-23,MakeMyTrip,Dining,29506.54
TXN00015,AP0784,2023-08-09,Zomato,Dining,46525.94
TXN00016,AP0638,2023-05-04,Uber,Entertainment,1447.69
TXN00017,AP0839,2024-09-01,Myntra,Entertainment,21216.95
TXN00018,AP0421,2024-07-20,Uber,Travel,21317.16
TXN00019,AP0201,2025-03-13,IRCTC,Entertainment,44540.71
TXN00020,AP0749,2023-03-01,Ola,Travel,30652.76
TXN00021,AP0684,2024-05-19,Ola,Dining,16757.19
TXN00022,AP0638,2025-03-14,Ola,Travel,44335.05
TXN00023,AP0615,2025-02-28,IRCTC,Travel,4734.31
TXN00024,AP0294,2023-09-21,Ola,Utilities,15374.11
TXN00025,AP0063,2024-08-04,Flipkart,Shopping,6736.67
TXN00026,AP0040,2024-08-25,Big Bazaar,Entertainment,43936.77
TXN00027,AP0697,2023-10-19,Ola,Shopping,10501.16
TXN00028,AP0589,2023-08-30,Myntra,Shopping,25641.71
TXN00029,AP0323,2023-05-09,Flipkart,Shopping,47703.61
TXN00030,AP0384,2025-02-22,Swiggy,Entertainment,47164.69
TXN00031,AP0030,2023-03-12,Amazon,Groceries,36087.44
TXN00032,AP0096,2023-05-26,Flipkart,Dining,44160.5
TXN00033,AP0204,2024-06-08,Uber,Entertainment,21602.68
TXN00034,AP0704,2024-09-13,Zomato,Entertainment,21617.57
TXN00035,AP0075,2024-05-08,Big Bazaar,Groceries,27245.05
TXN00036,AP0648,2023-01-28,Amazon,Groceries,11805.52
TXN00037,AP0212,2023-02-05,IRCTC,Utilities,40561.82
TXN00038,AP0975,2023-01-13,Zomato,Entertainment,8275.74
TXN00039,AP0642,2023-01-09,Ola,Entertainment,49337.99
TXN00040,AP0478,2024-04-01,Swiggy,Dining,42731.84
TXN00041,AP0321,2024-01-13,Amazon,Entertainment,28660.12
TXN00042,AP0558,2023-09-24,Ola,Entertainment,32011.2
TXN00043,AP0471,2024-02-29,Big Bazaar,Groceries,7798.43
TXN00044,AP0310,2024-10-28,Amazon,Groceries,34228.35
TXN00045,AP0503,2023-12-25,Uber,Dining,7772.54
TXN00046,AP0162,2024-02-18,Amazon,Shopping,16210.49
TXN00047,AP0272,2023-07-08,Uber,Shopping,17915.24
TXN00048,AP0565,2023-12-05,Amazon,Groceries,44921.77
TXN00049,AP0176,2024-11-20,IRCTC,Travel,1124.77
TXN00050,AP0533,2024-02-27,Zomato,Groceries,1388.97
TXN00051,AP0252,2023-03-30,Ola,Travel,45714.46
TXN00052,AP0110,2024-12-25,Flipkart,Entertainment,19680.18
TXN00053,AP0750,2023-10-14,Ola,Utilities,10358.48
TXN00054,AP0626,2024-03-31,Swiggy,Utilities,12545.09
TXN00055,AP0408,2023-12-05,Ola,Groceries,9769.45
TXN00056,AP0206,2023-08-09,Swiggy,Shopping,7573.17
TXN00057,AP0795,2024-01-13,MakeMyTrip,Dining,38077.21
TXN00058,AP0581,2023-09-12,Amazon,Travel,29345.41
TXN00059,AP0325,2025-02-10,Zomato,Shopping,41090.09
TXN00060,AP0956,2025-03-08,Zomato,Shopping,3129.55
TXN00061,AP0513,2024-10-18,Flipkart,Dining,38360.13
TXN00062,AP0128,2024-01-02,Big Bazaar,Utilities,42239.89
TXN00063,AP0624,2024-03-27,Myntra,Travel,39655.23
TXN00064,AP0391,2023-01-04,Zomato,Groceries,28529.05
TXN00065,AP0389,2024-09-09,Zomato,Groceries,15457.32
TXN00066,AP0988,2024-12-18,Ola,Travel,12023.2
TXN00067,AP0432,2024-04-04,Swiggy,Utilities,22666.48
TXN00068,AP0150,2023-08-18,Ola,Groceries,44132.16
TXN00069,AP0973,2023-06-18,MakeMyTrip,Utilities,10316.12
TXN00070,AP0285,2023-04-26,MakeMyTrip,Utilities,20078.88
TXN00071,AP0924,2025-01-23,Uber,Shopping,26573.74
TXN00072,AP0220,2023-04-09,IRCTC,Dining,33555.44
TXN00073,AP0662,2023-07-19,Zomato,Groceries,49988.83
TXN00074,AP0141,2024-01-20,MakeMyTrip,Groceries,27483.31
TXN00075,AP0628,2024-04-14,Big Bazaar,Entertainment,20240.25
TXN00076,AP0960,2023-05-08,Swiggy,Dining,44326.75
TXN00077,AP0464,2024-02-17,Zomato,Entertainment,22876.0
TXN00078,AP0022,2024-12-07,Big Bazaar,Shopping,25991.43
TXN00079,AP0624,2024-05-21,Myntra,Dining,37385.29
TXN00080,AP0237,2023-05-11,Uber,Shopping,11961.7
TXN00081,AP0566,2024-05-28,IRCTC,Shopping,4389.41
TXN00082,AP0749,2023-06-08,Big Bazaar,Dining,9486.93
TXN00083,AP0304,2024-06-12,Uber,Groceries,13501.67
TXN00084,AP0960,2023-12-12,Flipkart,Shopping,28504.27
TXN00085,AP0649,2023-04-11,Swiggy,Dining,30584.87
TXN00086,AP0308,2023-05-17,Amazon,Travel,546.19
TXN00087,AP0924,2024-11-08,Big Bazaar,Shopping,26538.77
TXN00088,AP0829,2024-11-28,IRCTC,Shopping,15693.73
TXN00089,AP0063,2023-12-19,Swiggy,Travel,48600.81
TXN00090,AP0211,2024-02-24,Zomato,Dining,9533.15
TXN00091,AP0066,2024-09-18,Amazon,Travel,44836.76
TXN00092,AP0727,2024-09-19,Myntra,Entertainment,40222.65
TXN00093,AP0511,2024-06-22,Ola,Groceries,5367.0
TXN00094,AP0511,2025-02-23,Ola,Utilities,45861.76
TXN00095,AP0410,2024-04-30,Swiggy,Shopping,38684.77
TXN00096,AP0550,2024-06-26,Amazon,Groceries,8665.05
TXN00097,AP0849,2023-03-07,Swiggy,Dining,28392.31
TXN00098,AP0960,2025-03-27,IRCTC,Dining,6539.94
TXN00099,AP0259,2024-03-19,Uber,Utilities,28981.91
TXN00100,AP0273,2025-01-04,Uber,Groceries,24777.09
TXN00101,AP0330,2024-10-20,Uber,Utilities,10155.64
TXN00102,AP0248,2023-02-13,Swiggy,Utilities,40153.91
TXN00103,AP0351,2024-01-24,Swiggy,Travel,43060.01
TXN00104,AP0112,2024-06-12,Swiggy,Groceries,42423.39
TXN00105,AP0716,2023-02-05,Myntra,Groceries,20614.21
TXN00106,AP0591,2023-04-19,Big Bazaar,Entertainment,31953.85
TXN00107,AP0583,2024-12-17,Ola,Dining,38717.45
TXN00108,AP0053,2024-02-02,MakeMyTrip,Entertainment,4955.8
TXN00109,AP0635,2023-06-06,MakeMyTrip,Shopping,9690.22
TXN00110,AP0131,2024-04-17,Uber,Travel,36403.89
TXN00111,AP0297,2023-04-15,Amazon,Travel,46650.08
TXN00112,AP0998,2025-03-01,Amazon,Travel,27837.18
TXN00113,AP0264,2023-06-01,Ola,Utilities,21714.6
TXN00114,AP0755,2024-12-13,Big Bazaar,Dining,42715.45
TXN00115,AP0966,2024-12-06,Flipkart,Groceries,44802.57
TXN00116,AP0405,2025-01-02,MakeMyTrip,Shopping,730.85
TXN00117,AP0319,2023-12-30,Flipkart,Shopping,28495.85
TXN00118,AP0959,2024-10-24,MakeMyTrip,Travel,2328.16
TXN00119,AP0814,2023-01-23,Big Bazaar,Travel,27846.21
TXN00120,AP0407,2024-01-16,IRCTC,Shopping,6730.31
TXN00121,AP0067,2025-03-15,Amazon,Travel,13963.86
TXN00122,AP0695,2024-07-17,Swiggy,Shopping,5226.89
TXN00123,AP0125,2023-11-21,IRCTC,Entertainment,46247.75
TXN00124,AP0632,2023-07-24,Big Bazaar,Shopping,8357.69
TXN00125,AP0094,2024-05-06,Myntra,Groceries,793.56
TXN00126,AP0670,2024-05-04,MakeMyTrip,Travel,11534.08
TXN00127,AP0446,2024-08-09,IRCTC,Groceries,48117.57
TXN00128,AP0331,2023-01-11,Swiggy,Travel,24209.81
